kernel;n_rays;time;Rps;Rps/Eur;Rps/W;n_blocks;n_threads
OpenVDB;4096;0.00193344;2.11851e+06;5296.27;14123.4;1;1
NanoVDB_CPU;4096;0.000844009;4.85303e+06;12132.6;32353.5;1;1
NanoVDB_GPU;4096;0.00175352;2.33587e+06;5839.67;4671.74;256;256
OpenVDB;6724;0.00196468;3.42245e+06;8556.12;22816.3;1;1
NanoVDB_CPU;6724;0.000903533;7.4419e+06;18604.7;49612.7;1;1
NanoVDB_GPU;6724;0.000871923;7.71169e+06;19279.2;15423.4;256;256
OpenVDB;11449;0.00277262;4.12931e+06;10323.3;27528.8;1;1
NanoVDB_CPU;11449;0.00161732;7.07898e+06;17697.5;47193.2;1;1
NanoVDB_GPU;11449;0.00146524;7.81372e+06;19534.3;15627.4;256;256
OpenVDB;19321;0.00454834;4.24792e+06;10619.8;28319.5;1;1
NanoVDB_CPU;19321;0.00272219;7.09759e+06;17744;47317.3;1;1
NanoVDB_GPU;19321;0.00206718;9.34654e+06;23366.4;18693.1;256;256
OpenVDB;32761;0.00724189;4.52382e+06;11309.5;30158.8;1;1
NanoVDB_CPU;32761;0.00422125;7.76097e+06;19402.4;51739.8;1;1
NanoVDB_GPU;32761;0.00310716;1.05437e+07;26359.3;21087.5;256;256
OpenVDB;54756;0.017688;3.09566e+06;7739.14;20637.7;1;1
NanoVDB_CPU;54756;0.0106261;5.153e+06;12882.5;34353.3;1;1
NanoVDB_GPU;54756;0.00616203;8.88603e+06;22215.1;17772.1;256;256
OpenVDB;92416;0.0242456;3.81166e+06;9529.15;25411.1;1;1
NanoVDB_CPU;92416;0.0131768;7.01355e+06;17533.9;46757;1;1
NanoVDB_GPU;92416;0.00689744;1.33986e+07;33496.5;26797.2;256;256
OpenVDB;155236;0.03629;4.27765e+06;10694.1;28517.7;1;1
NanoVDB_CPU;155236;0.0249737;6.21597e+06;15539.9;41439.8;1;1
NanoVDB_GPU;155236;0.0121078;1.28211e+07;32052.8;25642.3;256;256
