kernel;n_rays;time;Rps;Rps/Eur;Rps/W;n_blocks;n_threads
OpenVDB;64;0.000907911;70491.5;176.229;469.943;1;1
NanoVDB_CPU;64;0.00124159;51546.9;128.867;343.646;1;1
NanoVDB_GPU;64;0.000402982;158816;397.04;317.632;256;256
OpenVDB;64;0.000295145;216843;542.106;1445.62;1;1
NanoVDB_CPU;64;3.8553e-05;1.66005e+06;4150.13;11067;1;1
NanoVDB_GPU;64;0.000377387;169587;423.968;339.174;256;256
OpenVDB;81;0.000275859;293628;734.071;1957.52;1;1
NanoVDB_CPU;81;0.000533156;151926;379.814;1012.84;1;1
NanoVDB_GPU;81;0.000603899;134128;335.321;268.257;256;256
OpenVDB;81;0.000274042;295575;738.938;1970.5;1;1
NanoVDB_CPU;81;4.0508e-05;1.99961e+06;4999.01;13330.7;1;1
NanoVDB_GPU;81;0.000608889;133029;332.573;266.058;256;256
OpenVDB;100;0.000244785;408522;1021.3;2723.48;1;1
NanoVDB_CPU;100;4.7885e-05;2.08834e+06;5220.84;13922.2;1;1
NanoVDB_GPU;100;0.000493995;202431;506.078;404.862;256;256
OpenVDB;100;0.000271857;367840;919.601;2452.27;1;1
NanoVDB_CPU;100;4.0883e-05;2.446e+06;6115.01;16306.7;1;1
NanoVDB_GPU;100;0.000495313;201893;504.731;403.785;256;256
OpenVDB;121;0.000263017;460046;1150.12;3066.98;1;1
NanoVDB_CPU;121;7.0089e-05;1.72638e+06;4315.94;11509.2;1;1
NanoVDB_GPU;121;0.000719071;168273;420.682;336.545;256;256
OpenVDB;144;0.000295326;487597;1218.99;3250.65;1;1
NanoVDB_CPU;144;5.5828e-05;2.57935e+06;6448.38;17195.7;1;1
NanoVDB_GPU;144;0.00047053;306038;765.095;612.076;256;256
OpenVDB;169;0.000281724;599878;1499.69;3999.19;1;1
NanoVDB_CPU;169;5.7947e-05;2.91646e+06;7291.15;19443.1;1;1
NanoVDB_GPU;169;0.000873814;193405;483.513;386.81;256;256
OpenVDB;196;0.000308164;636025;1590.06;4240.17;1;1
NanoVDB_CPU;196;5.6765e-05;3.45283e+06;8632.08;23018.9;1;1
NanoVDB_GPU;196;0.000644205;304251;760.627;608.502;256;256
OpenVDB;196;0.000289649;676681;1691.7;4511.21;1;1
NanoVDB_CPU;196;6.2007e-05;3.16093e+06;7902.33;21072.9;1;1
NanoVDB_GPU;196;0.000639987;306256;765.641;612.512;256;256
OpenVDB;225;0.000309026;728094;1820.24;4853.96;1;1
NanoVDB_CPU;225;5.7623e-05;3.90469e+06;9761.73;26031.3;1;1
NanoVDB_GPU;225;0.000910161;247209;618.023;494.418;256;256
OpenVDB;256;0.000325727;785934;1964.84;5239.56;1;1
NanoVDB_CPU;256;5.8701e-05;4.36108e+06;10902.7;29073.9;1;1
NanoVDB_GPU;256;0.000514284;497779;1244.45;995.559;256;256
OpenVDB;289;0.000245652;1.17646e+06;2941.15;7843.07;1;1
NanoVDB_CPU;289;5.8446e-05;4.94474e+06;12361.8;32964.9;1;1
NanoVDB_GPU;289;0.000929206;311018;777.546;622.036;256;256
OpenVDB;361;0.000256985;1.40475e+06;3511.88;9365.01;1;1
NanoVDB_CPU;361;6.48e-05;5.57099e+06;13927.5;37139.9;1;1
NanoVDB_GPU;361;0.000949595;380162;950.405;760.324;256;256
OpenVDB;400;0.000351537;1.13786e+06;2844.65;7585.74;1;1
NanoVDB_CPU;400;8.6535e-05;4.62241e+06;11556;30816;1;1
NanoVDB_GPU;400;0.000539863;740929;1852.32;1481.86;256;256
OpenVDB;441;0.000251385;1.75428e+06;4385.7;11695.2;1;1
NanoVDB_CPU;441;6.8675e-05;6.42155e+06;16053.9;42810.3;1;1
NanoVDB_GPU;441;0.00102026;432241;1080.6;864.482;256;256
OpenVDB;529;0.000279249;1.89437e+06;4735.92;12629.1;1;1
NanoVDB_CPU;529;8.1865e-05;6.46186e+06;16154.6;43079.1;1;1
NanoVDB_GPU;529;0.00101609;520622;1301.56;1041.24;256;256
OpenVDB;576;0.000258704;2.22648e+06;5566.21;14843.2;1;1
NanoVDB_CPU;576;8.6586e-05;6.65235e+06;16630.9;44349;1;1
NanoVDB_GPU;576;0.000685899;839774;2099.43;1679.55;256;256
OpenVDB;676;0.000279806;2.41596e+06;6039.9;16106.4;1;1
NanoVDB_CPU;676;9.5553e-05;7.07461e+06;17686.5;47164.1;1;1
NanoVDB_GPU;676;0.00155468;434817;1087.04;869.633;256;256
OpenVDB;729;0.000282978;2.57617e+06;6440.43;17174.5;1;1
NanoVDB_CPU;729;0.000105239;6.92709e+06;17317.7;46180.6;1;1
NanoVDB_GPU;729;0.0017873;407877;1019.69;815.754;256;256
OpenVDB;841;0.000289053;2.9095e+06;7273.75;19396.7;1;1
NanoVDB_CPU;841;0.000125296;6.71211e+06;16780.3;44747.4;1;1
NanoVDB_GPU;841;0.00170775;492461;1231.15;984.921;256;256
OpenVDB;961;0.000312799;3.07226e+06;7680.65;20481.7;1;1
NanoVDB_CPU;961;0.000127542;7.53477e+06;18836.9;50231.8;1;1
NanoVDB_GPU;961;0.00181351;529912;1324.78;1059.82;256;256
OpenVDB;1089;0.000316333;3.44257e+06;8606.44;22950.5;1;1
NanoVDB_CPU;1089;0.000138014;7.8905e+06;19726.3;52603.4;1;1
NanoVDB_GPU;1089;0.00171219;636028;1590.07;1272.06;256;256
OpenVDB;1225;0.000342129;3.58052e+06;8951.3;23870.1;1;1
NanoVDB_CPU;1225;0.000143807;8.51836e+06;21295.9;56789.1;1;1
NanoVDB_GPU;1225;0.0017709;691737;1729.34;1383.47;256;256
OpenVDB;1369;0.00036268;3.77468e+06;9436.69;25164.5;1;1
NanoVDB_CPU;1369;0.000165499;8.27195e+06;20679.9;55146.4;1;1
NanoVDB_GPU;1369;0.00178102;768663;1921.66;1537.33;256;256
OpenVDB;1600;0.000379012;4.2215e+06;10553.8;28143.3;1;1
NanoVDB_CPU;1600;0.000212989;7.51213e+06;18780.3;50080.8;1;1
NanoVDB_GPU;1600;0.00133183;1.20136e+06;3003.39;2402.71;256;256
OpenVDB;1764;0.000398195;4.42999e+06;11075;29533.3;1;1
NanoVDB_CPU;1764;0.000209948;8.40208e+06;21005.2;56013.9;1;1
NanoVDB_GPU;1764;0.00166909;1.05687e+06;2642.17;2113.73;256;256
OpenVDB;2025;0.000605133;3.34637e+06;8365.93;22309.1;1;1
NanoVDB_CPU;2025;0.000331663;6.1056e+06;15264;40704;1;1
NanoVDB_GPU;2025;0.00185166;1.09361e+06;2734.03;2187.22;256;256
OpenVDB;2304;0.000629735;3.65868e+06;9146.7;24391.2;1;1
NanoVDB_CPU;2304;0.000285017;8.08373e+06;20209.3;53891.5;1;1
NanoVDB_GPU;2304;0.00131273;1.75512e+06;4387.8;3510.24;256;256
OpenVDB;2601;0.000565726;4.59763e+06;11494.1;30650.9;1;1
NanoVDB_CPU;2601;0.000336393;7.73203e+06;19330.1;51546.9;1;1
NanoVDB_GPU;2601;0.00195459;1.33071e+06;3326.78;2661.42;256;256
OpenVDB;3025;0.000569189;5.31458e+06;13286.4;35430.5;1;1
NanoVDB_CPU;3025;0.000346847;8.72142e+06;21803.6;58142.8;1;1
NanoVDB_GPU;3025;0.00187197;1.61595e+06;4039.87;3231.89;256;256
OpenVDB;3364;0.000649814;5.17687e+06;12942.2;34512.4;1;1
NanoVDB_CPU;3364;0.000366798;9.17126e+06;22928.2;61141.7;1;1
NanoVDB_GPU;3364;0.00169127;1.98904e+06;4972.6;3978.08;256;256
OpenVDB;3844;0.000661451;5.81147e+06;14528.7;38743.1;1;1
NanoVDB_CPU;3844;0.000417108;9.21584e+06;23039.6;61438.9;1;1
NanoVDB_GPU;3844;0.00170786;2.25078e+06;5626.94;4501.55;256;256
OpenVDB;4356;0.000705699;6.1726e+06;15431.5;41150.7;1;1
NanoVDB_CPU;4356;0.000485389;8.97425e+06;22435.6;59828.3;1;1
NanoVDB_GPU;4356;0.0017697;2.46144e+06;6153.59;4922.87;256;256
OpenVDB;4900;0.000789666;6.20516e+06;15512.9;41367.7;1;1
NanoVDB_CPU;4900;0.000491751;9.96439e+06;24911;66429.3;1;1
NanoVDB_GPU;4900;0.00178002;2.75277e+06;6881.93;5505.54;256;256
OpenVDB;5625;0.000939057;5.99005e+06;14975.1;39933.7;1;1
NanoVDB_CPU;5625;0.000599998;9.37503e+06;23437.6;62500.2;1;1
NanoVDB_GPU;5625;0.00191326;2.94001e+06;7350.02;5880.01;256;256
OpenVDB;6400;0.011435;559684;1399.21;3731.23;1;1
NanoVDB_CPU;6400;0.000620946;1.03069e+07;25767.1;68712.4;1;1
NanoVDB_GPU;6400;0.00148975;4.29603e+06;10740.1;8592.06;256;256
OpenVDB;7225;0.0012527;5.76755e+06;14418.9;38450.3;1;1
NanoVDB_CPU;7225;0.000720279;1.00308e+07;25077.1;66872.2;1;1
NanoVDB_GPU;7225;0.00196861;3.6701e+06;9175.26;7340.21;256;256
OpenVDB;8100;0.00129469;6.25635e+06;15640.9;41709;1;1
NanoVDB_CPU;8100;0.000790405;1.02479e+07;25619.8;68319.4;1;1
NanoVDB_GPU;8100;0.00183759;4.40796e+06;11019.9;8815.91;256;256
