kernel;n_rays;time;Rps;Rps/Eur;Rps/W;n_blocks;n_threads
NanoVDB_GPU;65536;0.00053902;1.21584e+08;48633.4;1.73691e+06;256;256
NanoVDB_GPU;73441;0.00060548;1.21294e+08;48517.5;1.73277e+06;256;256
NanoVDB_GPU;82944;0.0006116;1.35618e+08;54247.2;1.9374e+06;256;256
NanoVDB_GPU;93636;0.00070912;1.32045e+08;52818.1;1.88636e+06;256;256
NanoVDB_GPU;104976;0.00072706;1.44384e+08;57753.7;2.06263e+06;256;256
NanoVDB_GPU;118336;0.0007676;1.54164e+08;61665.5;2.20234e+06;256;256
NanoVDB_GPU;133225;0.0007122;1.87061e+08;74824.5;2.6723e+06;256;256
NanoVDB_GPU;150544;0.00074778;2.01321e+08;80528.5;2.87602e+06;256;256
NanoVDB_GPU;169744;0.00088428;1.91957e+08;76782.9;2.74225e+06;256;256
NanoVDB_GPU;190969;0.00103468;1.84568e+08;73827.3;2.63669e+06;256;256
NanoVDB_GPU;215296;0.0011339;1.89872e+08;75948.8;2.71246e+06;256;256
NanoVDB_GPU;242064;0.0011491;2.10655e+08;84262.1;3.00936e+06;256;256
NanoVDB_GPU;273529;0.00131298;2.08327e+08;83330.7;2.9761e+06;256;256
NanoVDB_GPU;308025;0.00153442;2.00744e+08;80297.4;2.86777e+06;256;256
NanoVDB_GPU;346921;0.0018122;1.91436e+08;76574.6;2.73481e+06;256;256
NanoVDB_GPU;390625;0.00202632;1.92776e+08;77110.2;2.75394e+06;256;256
NanoVDB_GPU;439569;0.00205904;2.13482e+08;85393;3.04975e+06;256;256
NanoVDB_GPU;495616;0.00224844;2.20427e+08;88170.6;3.14895e+06;256;256
NanoVDB_GPU;558009;0.0027032;2.06425e+08;82570.1;2.94893e+06;256;256
NanoVDB_GPU;628849;0.00287486;2.18741e+08;87496.3;3.12487e+06;256;256
NanoVDB_GPU;708964;0.00313392;2.26223e+08;90489.1;3.23175e+06;256;256
NanoVDB_GPU;799236;0.0035003;2.28334e+08;91333.4;3.26191e+06;256;256
NanoVDB_GPU;900601;0.00390562;2.30591e+08;92236.4;3.29416e+06;256;256
NanoVDB_GPU;1014049;0.004245;2.38881e+08;95552.3;3.41258e+06;256;256
NanoVDB_GPU;1142761;0.00471178;2.42533e+08;97013.1;3.46475e+06;256;256
NanoVDB_GPU;1285956;0.0051901;2.47771e+08;99108.4;3.53958e+06;256;256
NanoVDB_GPU;1449616;0.00570954;2.53894e+08;101557;3.62705e+06;256;256
NanoVDB_GPU;1633284;0.0062755;2.60264e+08;104105;3.71805e+06;256;256
NanoVDB_GPU;1841449;0.00690574;2.66655e+08;106662;3.80935e+06;256;256
NanoVDB_GPU;2073600;0.00790736;2.62237e+08;104895;3.74624e+06;256;256
NanoVDB_GPU;2334784;0.00859822;2.71543e+08;108617;3.87918e+06;256;256
NanoVDB_GPU;2630884;0.00945772;2.78173e+08;111269;3.9739e+06;256;256
NanoVDB_GPU;2965284;0.0103771;2.85753e+08;114301;4.08218e+06;256;256
NanoVDB_GPU;3337929;0.0113857;2.93168e+08;117267;4.18811e+06;256;256
NanoVDB_GPU;3763600;0.0126655;2.97153e+08;118861;4.24504e+06;256;256
NanoVDB_GPU;4239481;0.0139779;3.03298e+08;121319;4.33283e+06;256;256
NanoVDB_GPU;4774225;0.0161472;2.95668e+08;118267;4.22383e+06;256;256
NanoVDB_GPU;5377761;0.0172486;3.11779e+08;124712;4.45398e+06;256;256
NanoVDB_GPU;6061444;0.0189843;3.19287e+08;127715;4.56124e+06;256;256
NanoVDB_GPU;6827769;0.020968;3.25629e+08;130251;4.65184e+06;256;256
