kernel;n_rays;time;Rps;Rps/Eur;Rps/W;n_blocks;n_threads
OpenVDB;64;0.00103822;61644;18.7368;410.96;1;1
NanoVDB_CPU;64;0.000417294;153369;46.6167;1022.46;1;1
NanoVDB_GPU;64;0.000102564;624001;249.6;8914.29;256;256
OpenVDB;64;0.00028981;220834;67.1229;1472.23;1;1
NanoVDB_CPU;64;2.2702e-05;2.81913e+06;856.88;18794.2;1;1
NanoVDB_GPU;64;8.1416e-05;786086;314.435;11229.8;256;256
OpenVDB;64;0.000276125;231779;70.4496;1545.19;1;1
NanoVDB_CPU;64;2.1659e-05;2.95489e+06;898.143;19699.3;1;1
NanoVDB_GPU;64;8.0598e-05;794064;317.626;11343.8;256;256
OpenVDB;81;0.000280867;288393;87.6574;1922.62;1;1
NanoVDB_CPU;81;0.000907827;89224;27.1198;594.827;1;1
NanoVDB_GPU;81;0.000152056;532698;213.079;7609.98;256;256
OpenVDB;100;0.000265011;377343;114.694;2515.62;1;1
NanoVDB_CPU;100;0.000436419;229138;69.6467;1527.58;1;1
NanoVDB_GPU;100;0.000104868;953580;381.432;13622.6;256;256
OpenVDB;100;0.0102066;9797.58;2.97799;65.3172;1;1
NanoVDB_CPU;100;2.8385e-05;3.52299e+06;1070.82;23486.6;1;1
NanoVDB_GPU;100;0.000113554;880638;352.255;12580.5;256;256
OpenVDB;121;0.000275936;438507;133.285;2923.38;1;1
NanoVDB_CPU;121;0.000832995;145259;44.1517;968.393;1;1
NanoVDB_GPU;121;0.000156488;773222;309.289;11046;256;256
OpenVDB;121;0.000278371;434672;132.119;2897.81;1;1
NanoVDB_CPU;121;2.6335e-05;4.59465e+06;1396.55;30631;1;1
NanoVDB_GPU;121;0.000149964;806860;322.744;11526.6;256;256
OpenVDB;144;0.000271392;530598;161.276;3537.32;1;1
NanoVDB_CPU;144;0.00800234;17994.7;5.46952;119.965;1;1
NanoVDB_GPU;144;0.000104522;1.3777e+06;551.08;19681.4;256;256
OpenVDB;169;0.000267912;630804;191.734;4205.36;1;1
NanoVDB_CPU;169;0.000547776;308520;93.7752;2056.8;1;1
NanoVDB_GPU;169;0.000170608;990575;396.23;14151.1;256;256
OpenVDB;196;0.000265823;737333;224.113;4915.55;1;1
NanoVDB_CPU;196;0.000160062;1.22453e+06;372.196;8163.5;1;1
NanoVDB_GPU;196;0.00011976;1.63661e+06;654.643;23380.1;256;256
OpenVDB;196;0.00027139;722208;219.516;4814.72;1;1
NanoVDB_CPU;196;3.4547e-05;5.67343e+06;1724.45;37822.9;1;1
NanoVDB_GPU;196;0.000117154;1.67301e+06;669.205;23900.2;256;256
OpenVDB;225;0.000266509;844249;256.611;5628.33;1;1
NanoVDB_CPU;225;0.000400225;562184;170.877;3747.89;1;1
NanoVDB_GPU;225;0.000188754;1.19203e+06;476.811;17029;256;256
OpenVDB;256;0.000287446;890602;270.7;5937.35;1;1
NanoVDB_CPU;256;8.8808e-05;2.88262e+06;876.177;19217.5;1;1
NanoVDB_GPU;256;0.000152241;1.68154e+06;672.618;24022.1;256;256
OpenVDB;289;0.000263461;1.09694e+06;333.415;7312.91;1;1
NanoVDB_CPU;289;0.000255042;1.13315e+06;344.421;7554.31;1;1
NanoVDB_GPU;289;0.000188884;1.53004e+06;612.016;21857.7;256;256
OpenVDB;324;0.000290432;1.11558e+06;339.082;7437.2;1;1
NanoVDB_CPU;324;6.7396e-05;4.80741e+06;1461.22;32049.4;1;1
NanoVDB_GPU;324;0.00014915;2.17231e+06;868.924;31033;256;256
OpenVDB;361;0.000306077;1.17944e+06;358.493;7862.95;1;1
NanoVDB_CPU;361;0.000188129;1.9189e+06;583.251;12792.6;1;1
NanoVDB_GPU;361;0.000172571;2.09189e+06;836.757;29884.2;256;256
OpenVDB;441;0.000291421;1.51327e+06;459.962;10088.5;1;1
NanoVDB_CPU;441;9.7737e-05;4.51211e+06;1371.46;30080.7;1;1
NanoVDB_GPU;441;0.000342011;1.28943e+06;515.773;18420.5;256;256
OpenVDB;484;0.000264725;1.82831e+06;555.718;12188.7;1;1
NanoVDB_CPU;484;4.2331e-05;1.14337e+07;3475.29;76224.7;1;1
NanoVDB_GPU;484;0.000329373;1.46946e+06;587.783;20992.3;256;256
OpenVDB;529;0.00028077;1.8841e+06;572.676;12560.7;1;1
NanoVDB_CPU;529;9.3166e-05;5.67804e+06;1725.85;37853.6;1;1
NanoVDB_GPU;529;0.00033307;1.58825e+06;635.302;22689.4;256;256
OpenVDB;576;0.000275709;2.08916e+06;635.003;13927.7;1;1
NanoVDB_CPU;576;3.6943e-05;1.55916e+07;4739.08;103944;1;1
NanoVDB_GPU;576;0.000319541;1.80259e+06;721.034;25751.2;256;256
