kernel;n_rays;time;Rps;Rps/Eur;Rps/W;n_blocks;n_threads
OpenVDB;64;0.00104321;61349.1;18.6471;408.994;1;1
NanoVDB_CPU;64;0.000582927;109791;33.3711;731.938;1;1
NanoVDB_GPU;64;7.43421e-05;860885;344.354;12298.4;256;256
OpenVDB;64;0.000255154;250829;76.2398;1672.19;1;1
NanoVDB_CPU;64;2.1869e-05;2.92652e+06;889.519;19510.1;1;1
NanoVDB_GPU;64;7.41609e-05;862989;345.196;12328.4;256;256
OpenVDB;64;0.00026465;241829;73.5042;1612.19;1;1
NanoVDB_CPU;64;2.2064e-05;2.90065e+06;881.657;19337.7;1;1
NanoVDB_GPU;64;7.41543e-05;863065;345.226;12329.5;256;256
OpenVDB;81;0.000265094;305552;92.8729;2037.01;1;1
NanoVDB_CPU;81;0.000721845;112212;34.1071;748.083;1;1
NanoVDB_GPU;81;0.000206302;392628;157.051;5608.97;256;256
OpenVDB;100;0.000267353;374037;113.689;2493.58;1;1
NanoVDB_CPU;100;0.000192271;520099;158.085;3467.33;1;1
NanoVDB_GPU;100;0.000128406;778782;311.513;11125.5;256;256
OpenVDB;100;0.000273619;365472;111.086;2436.48;1;1
NanoVDB_CPU;100;2.7114e-05;3.68813e+06;1121.01;24587.5;1;1
NanoVDB_GPU;100;0.00012826;779667;311.867;11138.1;256;256
OpenVDB;121;0.000288745;419055;127.372;2793.7;1;1
NanoVDB_CPU;121;0.000756292;159991;48.6295;1066.61;1;1
NanoVDB_GPU;121;0.000210023;576128;230.451;8230.4;256;256
OpenVDB;121;0.000250943;482181;146.56;3214.54;1;1
NanoVDB_CPU;121;2.7505e-05;4.3992e+06;1337.14;29328;1;1
NanoVDB_GPU;121;0.000210061;576024;230.41;8228.92;256;256
OpenVDB;144;0.000263147;547223;166.329;3648.15;1;1
NanoVDB_CPU;144;0.000175475;820630;249.432;5470.86;1;1
NanoVDB_GPU;144;0.000149888;960719;384.288;13724.6;256;256
OpenVDB;169;0.00026734;632154;192.144;4214.36;1;1
NanoVDB_CPU;169;0.000446099;378840;115.149;2525.6;1;1
NanoVDB_GPU;169;0.000213008;793398;317.359;11334.3;256;256
OpenVDB;196;0.000318594;615203;186.992;4101.35;1;1
NanoVDB_CPU;196;0.000149333;1.3125e+06;398.937;8750.02;1;1
NanoVDB_GPU;196;0.000168834;1.1609e+06;464.361;16584.3;256;256
OpenVDB;196;0.000291816;671656;204.151;4477.71;1;1
NanoVDB_CPU;196;2.9675e-05;6.60489e+06;2007.56;44032.6;1;1
NanoVDB_GPU;196;0.000168806;1.16109e+06;464.437;16587;256;256
OpenVDB;225;0.000266444;844455;256.673;5629.7;1;1
NanoVDB_CPU;225;0.000254096;885492;269.147;5903.28;1;1
NanoVDB_GPU;225;0.000232451;967945;387.178;13827.8;256;256
OpenVDB;256;0.000262216;976294;296.746;6508.63;1;1
NanoVDB_CPU;256;0.000215766;1.18647e+06;360.629;7909.8;1;1
NanoVDB_GPU;256;0.000209725;1.22065e+06;488.259;17437.8;256;256
OpenVDB;289;0.000284217;1.01683e+06;309.066;6778.86;1;1
NanoVDB_CPU;289;0.000132268;2.18496e+06;664.121;14566.4;1;1
NanoVDB_GPU;289;0.000243172;1.18846e+06;475.383;16978;256;256
OpenVDB;324;0.000284597;1.13845e+06;346.034;7589.68;1;1
NanoVDB_CPU;324;3.5597e-05;9.10189e+06;2766.53;60679.3;1;1
NanoVDB_GPU;324;0.000188626;1.71769e+06;687.075;24538.4;256;256
OpenVDB;361;0.000289912;1.24521e+06;378.482;8301.37;1;1
NanoVDB_CPU;361;0.00013843;2.60782e+06;792.649;17385.4;1;1
NanoVDB_GPU;361;0.00018369;1.96527e+06;786.109;28075.3;256;256
OpenVDB;441;0.000282905;1.55883e+06;473.808;10392.2;1;1
NanoVDB_CPU;441;7.5492e-05;5.84168e+06;1775.59;38944.5;1;1
NanoVDB_GPU;441;0.000203434;2.16778e+06;867.114;30968.3;256;256
OpenVDB;484;0.000281796;1.71755e+06;522.053;11450.4;1;1
NanoVDB_CPU;484;4.1164e-05;1.17578e+07;3573.81;78385.6;1;1
NanoVDB_GPU;484;0.000193814;2.49723e+06;998.894;35674.8;256;256
