x;y;z
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0;0;7.1;39
0.2;0;7;38.0422
0.2;0;7;38.0422
0.2;0;7;38.0422
0.2;0;7;38.0422
0.2;0;7;38.0422
0.2;0;7;38.0422
0.2;0;7;38.0422
0.2;0;7;38.0422
0.2;0;7;38.0422
0.2;0;7;38.0422
0.2;0;7;38.0422
0.2;0;7;38.0422
0.2;0;7;38.0422
0.2;0.1;7;38.0422
0.2;0.1;7;38.0422
0.2;0.1;7;38.0422
0.2;0.1;7;38.0422
0.2;0.1;7;38.0422
0.1;0.1;7;38.0422
0.1;0.1;7;38.0422
0.1;0.1;7;38.0422
0.1;0.1;7;38.0422
0.1;0.1;7;38.0422
0.1;0.1;7;38.0422
0.1;0.1;7;38.0422
0.1;0.1;7;38.0422
0.1;0.1;7;38.0422
0.1;0.1;7;38.0422
0.1;0.2;7;38.0422
0.1;0.2;7;38.0422
0.1;0.2;7;38.0422
0.1;0.2;7;38.0422
0.1;0.2;7;38.0422
0.1;0.2;7;38.0422
0;0.2;7;38.0422
