kernel;n_rays;time;Rps;Rps/Eur;Rps/W;n_blocks;n_threads
OpenVDB;4096;0.00222657;1.8396e+06;4599;12264;1;1
NanoVDB_CPU;4096;0.000941838;4.34894e+06;10872.4;28993;1;1
NanoVDB_GPU;4096;0.0010042;4.07888e+06;10197.2;8157.75;256;256
OpenVDB;6724;0.00294474;2.28339e+06;5708.48;15222.6;1;1
NanoVDB_CPU;6724;0.000919476;7.31286e+06;18282.2;48752.4;1;1
NanoVDB_GPU;6724;0.000872446;7.70707e+06;19267.7;15414.1;256;256
OpenVDB;11449;0.00292857;3.90941e+06;9773.53;26062.8;1;1
NanoVDB_CPU;11449;0.00225346;5.08062e+06;12701.6;33870.8;1;1
NanoVDB_GPU;11449;0.00147386;7.76801e+06;19420;15536;256;256
OpenVDB;19321;0.00475004;4.06755e+06;10168.9;27117;1;1
NanoVDB_CPU;19321;0.00259869;7.43489e+06;18587.2;49566;1;1
NanoVDB_GPU;19321;0.00207611;9.30633e+06;23265.8;18612.7;256;256
OpenVDB;32761;0.00717821;4.56395e+06;11409.9;30426.4;1;1
NanoVDB_CPU;32761;0.00410809;7.97476e+06;19936.9;53165.1;1;1
NanoVDB_GPU;32761;0.00309679;1.0579e+07;26447.5;21158;256;256
OpenVDB;54756;0.0156023;3.50947e+06;8773.69;23396.5;1;1
NanoVDB_CPU;54756;0.00987983;5.5422e+06;13855.5;36948;1;1
NanoVDB_GPU;54756;0.00505044;1.08418e+07;27104.6;21683.7;256;256
OpenVDB;92416;0.0241271;3.83038e+06;9575.95;25535.9;1;1
NanoVDB_CPU;92416;0.0130022;7.10774e+06;17769.4;47385;1;1
NanoVDB_GPU;92416;0.00689593;1.34015e+07;33503.8;26803.1;256;256
OpenVDB;155236;0.0376934;4.11839e+06;10296;27455.9;1;1
NanoVDB_CPU;155236;0.0227725;6.81683e+06;17042.1;45445.5;1;1
NanoVDB_GPU;155236;0.017904;8.67045e+06;21676.1;17340.9;256;256
