INDEX:1000:<ulong>,origin_z:1000:<float>,intersect_x:1000:<float>,intersect_y:1000:<float>,idx_x:1000:<float>,idx_y:1000:<float>,value:1000:<float>,time:1000:<float>,gt_intersect_x:1000:<float>,gt_intersect_y:1000:<float>
0,-50,280,-50,56,0,122.40940094,0,100,-50
1,-49.9000015259,280,-50,56,0,122.40940094,0,99.8429336548,-49.9997520447
2,-49.7999992371,280,-50,56,0,122.40940094,0,99.685836792,-49.9990119934
3,-49.7000007629,280,-50,56,0,122.40940094,0,99.5287704468,-49.9977798462
4,-49.5999984741,280,-50,56,0,122.40940094,0,99.3716888428,-49.9960517883
5,-49.5,280,-50,56,0,122.40940094,0,99.2146377563,-49.9938316345
6,-49.4000015259,280,-50,56,0,122.40940094,0,99.0575866699,-49.9911193848
7,-49.2999992371,280,-50,56,0,122.40940094,0,98.9005279541,-49.9879074097
8,-49.2000007629,280,-50,56,0,122.40940094,0,98.7434997559,-49.984210968
9,-49.0999984741,280,-50,56,0,122.40940094,0,98.5864639282,-49.980014801
10,-49,280,-50,56,0,122.40940094,0,98.4294586182,-49.9753265381
11,-48.9000015259,280,-50,56,0,122.40940094,0,98.2724761963,-49.9701461792
12,-48.7999992371,280,-50,56,0,122.40940094,0,98.115486145,-49.9644737244
13,-48.7000007629,280,-50,56,0,122.40940094,0,97.9585342407,-49.9583053589
14,-48.5999984741,280,-50,56,0,122.40940094,0,97.8015823364,-49.9516448975
15,-48.5,280,-50,56,0,122.40940094,0,97.6446762085,-49.9444923401
16,-48.4000015259,280,-50,56,0,122.40940094,0,97.4877929688,-49.9368476868
17,-48.2999992371,280,-50,56,0,122.40940094,0,97.330909729,-49.9287109375
18,-48.2000007629,280,-50,56,0,122.40940094,0,97.174079895,-49.9200782776
19,-48.0999984741,280,-50,56,0,122.40940094,0,97.017250061,-49.9109535217
20,-48,280,-50,56,0,122.40940094,0,96.8604736328,-49.9013366699
21,-47.9000015259,280,-50,56,0,122.40940094,0,96.7037277222,-49.8912277222
22,-47.7999992371,280,-50,56,0,122.40940094,0,96.5469894409,-49.8806228638
23,-47.7000007629,280,-50,56,0,122.40940094,0,96.3903121948,-49.8695297241
24,-47.5999984741,280,-50,56,0,122.40940094,0,96.2336502075,-49.8579444885
25,-47.5,280,-50,56,0,122.40940094,0,96.077041626,-49.845867157
26,-47.4000015259,280,-50,56,0,122.40940094,0,95.9204788208,-49.8332977295
27,-47.2999992371,280,-50,56,0,122.40940094,0,95.7639312744,-49.8202323914
28,-47.2000007629,280,-50,56,0,122.40940094,0,95.6074447632,-49.8066825867
29,-47.0999984741,280,-50,56,0,122.40940094,0,95.4509811401,-49.7926368713
30,-47,280,-50,56,0,122.40940094,0,95.2945861816,-49.7780990601
31,-46.9000015259,280,-50,56,0,122.40940094,0,95.1382369995,-49.7630729675
32,-46.7999992371,280,-50,56,0,122.40940094,0,94.9819107056,-49.7475509644
33,-46.7000007629,280,-50,56,0,122.40940094,0,94.8256530762,-49.7315406799
34,-46.5999984741,280,-50,56,0,122.40940094,0,94.6694335938,-49.7150382996
35,-46.5,280,-50,56,0,122.40940094,0,94.5132827759,-49.6980476379
36,-46.4000015259,280,-50,56,0,122.40940094,0,94.3571853638,-49.6805648804
37,-46.2999992371,280,-50,56,0,122.40940094,0,94.2011260986,-49.6625938416
38,-46.2000007629,280,-50,56,0,122.40940094,0,94.0451431274,-49.6441307068
39,-46.0999984741,280,-50,56,0,122.40940094,0,93.8892211914,-49.6251792908
40,-46,280,-50,56,0,122.40940094,0,93.7333374023,-49.6057357788
