INDEX:100:<ulong>,origin_z:100:<float>,gt_intersect_x:100:<float>,gt_intersect_y:100:<float>,nano_intersect_x:100:<float>,open_intersect_x:100:<float>,nano_intersect_y:100:<float>,open_intersect_y:100:<float>,nano_idx_x:100:<float>,open_idx_x:100:<float>,nano_idx_y:100:<float>,open_idx_y:100:<float>,nano_value:100:<float>,nano_time:100:<float>,open_time:100:<float>
0,-50,100,-50,0,100,0,-50,0,20,0,0,0,0,20
1,-49,98.4294586182,-49.9753265381,0,90.0773010254,0,-49,0,18.015460968,0,0,0,0,18.015460968
2,-48,96.8604736328,-49.9013366699,0,86.16771698,0,-48,0,17.233543396,0,0,0,0,17.233543396
3,-47,95.2945861816,-49.7780990601,0,83.1132659912,0,-47,0,16.6226539612,0,0,0,0,16.6226539612
4,-46,93.7333374023,-49.6057357788,0,80.4661102295,0,-46,0,16.0932216644,0,0,0,0,16.0932216644
5,-45,92.178276062,-49.3844146729,0,78.3085098267,0,-45,0,15.6617021561,0,0,0,0,15.6617021561
6,-44,90.6309280396,-49.1143608093,0,76.3538818359,0,-44,0,15.2707767487,0,0,0,0,15.2707767487
7,-43,89.0928344727,-48.7958374023,0,74.5452041626,0,-43,0,14.909040451,0,0,0,0,14.909040451
8,-42,87.5654983521,-48.4291572571,0,72.9803771973,0,-42,0,14.596075058,0,0,0,0,14.596075058
9,-41,86.0504379272,-48.0146827698,0,71.4661102295,0,-41,0,14.2932224274,0,0,0,0,14.2932224274
10,-40,84.5491485596,-47.5528259277,0,70,0,-40,0,14,0,0,0,0,14
11,-39,83.0630950928,-47.0440368652,0,68.7807388306,0,-39,0,13.7561483383,0,0,0,0,13.7561483383
12,-38,81.5937652588,-46.488822937,0,67.5988464355,0,-38,0,13.5197696686,0,0,0,0,13.5197696686
13,-37,80.1426010132,-45.8877296448,0,66.4526290894,0,-37,0,13.2905263901,0,0,0,0,13.2905263901
14,-36,78.7110290527,-45.2413482666,0,65.3404922485,0,-36,0,13.0680980682,0,0,0,0,13.0680980682
15,-35,77.3004684448,-44.5503234863,0,64.3122253418,0,-35,0,12.8624448776,0,0,0,0,12.8624448776
16,-34,75.9123077393,-43.8153305054,245,63.4033813477,-170,-34,49,12.6806764603,0,0,124.642486572,0,12.6806764603
17,-33,74.5479202271,-43.0370941162,245,62.5186576843,-165,-33,49,12.5037317276,0,0,123.925262451,0,12.5037317276
18,-32,73.2086486816,-42.2163887024,245,61.6571121216,-160,-32,49,12.3314228058,0,0,124.642486572,0,12.3314228058
19,-31,71.8958435059,-41.3540344238,245,60.8178482056,-155,-31,49,12.1635694504,0,0,124.427642822,0,12.1635694504
20,-30,70.610748291,-40.4508552551,245,60,-150,-30,49,12,0,0,124.92855072,0,12
21,-29,69.3546600342,-39.5077590942,245,59.3144607544,-145,-29,49,11.8628921509,0,0,123.349365234,0,11.8628921509
22,-28,68.1288070679,-38.5256690979,245,58.643699646,-140,-28,49,11.7287397385,0,0,122.046508789,0,11.7287397385
23,-27,66.9344100952,-37.5055618286,245,57.9872512817,-135,-27,49,11.5974502563,0,0,124.140739441,0,11.5974502563
24,-26,65.7726516724,-36.4484367371,245,57.3446617126,-130,-26,49,11.4689321518,0,0,123.565536499,0,11.4689321518
25,-25,64.6446685791,-35.355342865,245,56.7154922485,-125,-25,49,11.3430986404,0,0,123.27722168,0,11.3430986404
26,-24,63.551574707,-34.2273635864,280,56.1851730347,-120,-24,56,11.2370347977,0,0,123.27722168,0,11.2370347977
27,-23,62.4944496155,-33.0655975342,280,55.6652145386,-115,-23,56,11.1330432892,0,0,123.565536499,0,11.1330432892
28,-22,61.4743423462,-31.8712062836,280,55.1553192139,-110,-22,56,11.0310640335,0,0,124.140739441,0,11.0310640335
29,-21,60.4922523499,-30.6453590393,280,54.6667442322,-105,-21,56,10.9333486557,0,0,121.026306152,0,10.9333486557
30,-20,59.5491523743,-29.3892688751,280,54.1798858643,-100,-20,56,10.8359775543,0,0,122.046508789,0,10.8359775543
31,-19,58.6459732056,-28.1041717529,280,53.795375824,-95,-19,56,10.7590751648,0,0,123.349365234,0,10.7590751648
32,-18,57.7836074829,-26.791343689,280,53.4161376953,-90,-18,56,10.6832275391,0,0,124.92855072,0,10.6832275391
